Date,Count,temp,humidity,precip,precipcover,windgust,windspeed,winddir,cloudcover,visibility,uvindex,conditions,AQI
1/1/22,173,77,73,0,0,24.4,15.3,145.8,25,9.8,4,Partially cloudy,25
1/2/22,289,77.4,72.5,0,0,27.1,15.7,170.5,22,9.9,6,Partially cloudy,29
1/3/22,378,71.2,72.1,0,0,25.1,13.2,283.9,29.7,9.9,3,Partially cloudy,29
1/4/22,405,68.7,64.8,0,0,22.1,13.9,45.1,48,9.9,6,Partially cloudy,31
1/5/22,435,72.7,78.9,0.057,12.5,20.8,10.3,119.3,52.8,9.8,6,"Rain, Partially cloudy",32
1/6/22,459,69.9,67.8,0,0,17.2,10.6,312.2,16.9,9.9,6,Clear,32
1/7/22,552,74.9,73.6,0,0,19.9,11.6,359.8,49.1,9.9,6,Partially cloudy,40
1/8/22,569,75.6,71.7,0,0,28,16.6,67.4,61.4,9.9,5,Partially cloudy,40
1/9/22,448,75.8,74,0.06,50,28.2,19.6,87.4,92.1,9.6,3,"Rain, Overcast",26
1/10/22,302,74.7,76.7,0.015,8.33,19.7,10.6,55.1,45.2,9.9,6,"Rain, Partially cloudy",16
1/11/22,174,68.8,85.2,0.731,50,29.1,13.7,7.4,60.9,9.4,4,"Rain, Partially cloudy",29
1/12/22,341,72.2,62.1,0.002,4.17,27.5,17.6,69.4,72.6,9.9,6,"Rain, Partially cloudy",40
1/13/22,483,69.9,67.6,0,0,23.6,12.9,309.1,43.8,9.9,6,Partially cloudy,39
1/14/22,452,62.4,59.3,0,0,30.5,13.6,310.8,2,9.9,6,Clear,30
1/15/22,554,64,60.3,0,0,12.3,11,125.3,1.7,9.9,6,Clear,32
1/16/22,634,69.9,76,0.626,20.83,32.6,18.1,198.4,58.7,9.8,1,"Rain, Partially cloudy",52
1/17/22,540,64,67,0,0,28.4,17.9,281.3,17.1,9.9,6,Clear,45
1/18/22,532,58.8,64.2,0,0,20.8,8.7,348,5.4,9.9,7,Clear,30
1/19/22,559,65.4,66.2,0,0,21.9,15.3,103.9,55.7,9.9,7,Partially cloudy,30
1/20/22,597,72.4,79.4,1.481,33.33,20.1,15.9,123.9,69.2,9.1,7,"Rain, Partially cloudy",35
1/21/22,632,74.1,85.7,0.697,33.33,42.5,9.1,99.6,70.5,9.7,4,"Rain, Partially cloudy",34
1/22/22,707,69.5,87.9,0.015,4.17,18.1,12.6,338,71.6,9.7,5,"Rain, Partially cloudy",52
1/23/22,608,58.4,85.5,0.02,12.5,19.7,14.1,307.5,81.7,9.4,4,"Rain, Partially cloudy",40
1/24/22,503,53.5,60.7,0,0,21.9,9.4,311.5,27.9,9.9,7,Partially cloudy,32
1/25/22,489,62.6,63.7,0,0,18.3,11.8,83.8,39.6,9.9,5,Partially cloudy,29
1/26/22,543,73.9,78.4,0.481,33.33,25.9,14.5,196.7,79,9.8,4,"Rain, Partially cloudy",31
1/27/22,467,70.9,86.5,0.005,4.17,14.3,10.9,352,72.8,9.6,6,"Rain, Partially cloudy",26
1/28/22,578,66.9,80.9,0,0,23.1,14.6,284.2,66.1,7.1,5,Partially cloudy,26
1/29/22,607,55.5,49.4,0,0,36.4,23.5,305.1,26.5,9.9,7,Partially cloudy,35
1/30/22,589,50.4,41.3,0,0,20.1,12.1,326.8,2.3,9.9,7,Clear,30
1/31/22,462,57.8,51.2,0,0,20.2,10.6,13.1,8.5,9.9,7,Clear,25
2/1/22,368,68.4,51.5,0,0,26.4,17.6,78,56.6,9.9,5,Partially cloudy,23
2/2/22,548,73.2,58.7,0,0,27.4,18.8,109.5,39.9,9.9,6,Partially cloudy,30
2/3/22,554,74.8,66.9,0,0,25.3,17.7,123.2,34.4,9.9,7,Partially cloudy,30
2/4/22,673,75.5,71.9,0,0,24.2,16.7,136.9,31.6,9.9,8,Partially cloudy,36
2/5/22,729,73,79.2,0.571,12.5,15.4,12.8,51.8,40.9,9.7,6,"Rain, Partially cloudy",50
2/6/22,548,72.9,80.5,0.855,25,15.7,11.1,143.7,59.8,9,6,"Rain, Partially cloudy",36
2/7/22,343,72.1,81,0,0,19.7,11.1,170.8,41.7,8.4,6,Partially cloudy,29
2/8/22,249,70.1,84.9,0.244,29.17,21.5,9.7,7.3,72.2,9.7,7,"Rain, Partially cloudy",25
2/9/22,84,63.7,89.5,0.246,25,18.3,10.9,331.2,88.1,9.7,2,"Rain, Partially cloudy",16
2/10/22,413,67,68.3,0,0,20.8,11.4,13,23.6,9.9,6,Partially cloudy,25
2/11/22,465,72.4,75,0,0,14.1,12.7,85.3,61.5,9.9,8,Partially cloudy,30
2/12/22,600,74.2,77.9,0,0,15.4,11.9,69,30.2,9.9,7,Partially cloudy,35
2/13/22,143,70.2,82.7,0.849,25,25.3,12.5,308.2,63,9.2,3,"Rain, Partially cloudy",16
2/14/22,335,61.3,64.8,0,0,25.3,14.8,342.4,14.5,9.9,8,Clear,21
2/15/22,290,68.1,61.7,0,0,31.2,20.9,63.4,65.9,9.9,5,Partially cloudy,25
2/16/22,338,73.1,71.4,0.264,29.17,31.6,22.1,81.2,88.1,9.4,6,"Rain, Partially cloudy",25
2/17/22,278,76,81.1,0.145,29.17,28.7,18.6,116.3,89.4,9.6,6,"Rain, Partially cloudy",26
2/18/22,559,77.4,80.2,0,0,20.8,13.1,158.9,44.4,9.9,7,Partially cloudy,32
2/19/22,409,74.2,84.9,0.105,16.67,19.2,10.6,325.5,78,9.5,8,"Rain, Partially cloudy",28
2/20/22,568,72.9,67.4,0,0,25.3,16,52.7,75.2,9.9,7,Partially cloudy,33
2/21/22,559,74.3,67.8,0.005,4.17,21,12.8,71.9,55.2,9.9,7,"Rain, Partially cloudy",31
2/22/22,450,76,75.2,0.059,12.5,26.2,18,90.1,63.7,9.9,6,"Rain, Partially cloudy",28
2/23/22,594,76.1,71.4,0,0,21.3,15,94.1,41.7,9.9,7,Partially cloudy,34
2/24/22,515,76.1,72.1,0,0,24.2,16.1,105.3,46.2,9.9,9,Partially cloudy,28
2/25/22,649,75.9,67.6,0,0,21.5,12.8,92.8,36.3,9.9,6,Partially cloudy,52
2/26/22,805,75.6,67.5,0,0,21,14.7,80,30.3,9.9,8,Partially cloudy,51
2/27/22,689,76.5,77.7,0.217,16.67,20.8,14.3,127,55.6,9.7,7,"Rain, Partially cloudy",47
2/28/22,524,74.8,72.5,0.003,4.17,18.1,11.4,260.6,52.2,9.9,8,"Rain, Partially cloudy",36
3/1/22,405,71,78.5,0,0,19.7,13.3,333.3,60.9,9.8,8,Partially cloudy,28
3/2/22,415,70.6,77.1,0.022,8.33,17.2,8.3,356.6,77.2,9.9,5,"Rain, Partially cloudy",28
3/3/22,490,73.1,69.9,0,0,24.2,13.2,71.1,29.4,9.9,9,Partially cloudy,29
3/4/22,634,75.5,58.5,0,0,25,16.1,65.3,24.3,9.9,7,Partially cloudy,35
3/5/22,745,77,63.5,0.005,4.17,32.9,22.7,84.9,56.6,9.9,8,"Rain, Partially cloudy",41
3/6/22,687,77.7,61.7,0,0,28.5,20.4,100.8,77.7,9.9,9,Partially cloudy,42
3/7/22,567,78.1,73.6,0,0,29.4,19.8,118.7,82.9,9.9,6,Partially cloudy,31
3/8/22,707,79.2,73.5,0,0,24.2,17.2,144.1,47.6,9.9,8,Partially cloudy,42
3/9/22,776,79.5,72.5,0,0,29.5,17.1,158.4,24.7,9.9,9,Partially cloudy,39
3/10/22,447,78.5,81,0.291,20.83,28.9,15.6,164.4,43.2,9.9,6,"Rain, Partially cloudy",28
3/11/22,718,78.9,78.3,0,0,28.9,18,159.7,18.2,9.7,9,Clear,56
3/12/22,584,76.1,68.4,0.017,4.17,43.6,28.8,245.9,48.1,9.8,7,"Rain, Partially cloudy",30
3/13/22,806,64.1,55.5,0,0,29.3,18.5,24.8,49,9.9,9,Partially cloudy,52
3/14/22,531,72,60.7,0,0,29.1,17.8,71.3,81,9.9,7,Partially cloudy,32
3/15/22,110,74.1,86,0.314,45.83,30,16.5,75.4,93.4,9,3,"Rain, Overcast",16
3/16/22,345,76.4,83,0.084,12.5,28.9,16.6,166.7,45.5,9.8,7,"Rain, Partially cloudy",21
3/17/22,376,77.1,82.8,0.052,12.5,19.7,15,171.1,60.6,9.9,7,"Rain, Partially cloudy",17
3/18/22,633,77.6,80.6,0,0,21.9,13.5,130.6,25.1,9.6,7,Partially cloudy,36
3/19/22,698,79.7,77.9,0,0,24.4,14.2,138,20.3,9.9,9,Partially cloudy,34
3/20/22,609,77.7,79.5,0.013,4.17,23,15.2,38.6,41.6,9.8,6,"Rain, Partially cloudy",35
3/21/22,520,75.2,60.1,0,0,33.3,18.2,61.8,37.5,9.9,9,Partially cloudy,30
3/22/22,516,76.3,61.1,0,0,28.9,18.3,108.8,64.2,9.9,9,Partially cloudy,30
3/23/22,500,79.2,75.4,0,0,29.3,20.3,134.9,60.6,9.9,9,Partially cloudy,29
3/24/22,386,80.7,74.5,0.09,8.33,34.4,20.6,171.5,53.4,9.8,8,"Rain, Partially cloudy",26
3/25/22,472,72.7,62,0.203,12.5,22.8,13.1,326.3,50.3,9.8,7,"Rain, Partially cloudy",28
